COD_HOSPITAL,NOMBRE_HOSPITAL,REGION_GEO,COMUNA_GEO,LAT_GEO,LON_GEO,total,alta,traslados,porcentaje,porcentaje_traslado
101100,Hospital Dr. Juan Noé Crevanni (Arica),Región de Arica Parinacota,Arica,-18.482478,-70.312948,108655,15295,2124,14.08,1.95
102100,Hospital Dr. Ernesto Torres Galdames (Iquique),Región de Tarapacá,Iquique,-20.214354,-70.138931,117715,18796,3943,15.97,3.35
103100,Hospital Dr. Leonardo Guzmán (Antofagasta),Región de Antofagasta,Antofagasta,-23.616852,-70.385924,127028,19393,1558,15.27,1.23
103101,Hospital Dr. Carlos Cisternas (Calama),Región de Antofagasta,Calama,-22.445201,-68.918257,60443,11992,2080,19.84,3.44
104100,Hospital San José del Carmen (Copiapó),Región de Atacama,Copiapó,-27.373352,-70.322127,76747,11213,1867,14.61,2.43
104103,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Región de Atacama,Vallenar,-28.574949,-70.782512,33545,5615,1077,16.74,3.21
105100,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,101701,17131,2800,16.84,2.75
105101,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,100985,13305,2159,13.18,2.14
105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),Región de Coquimbo,Ovalle,-30.599614,-71.200031,64572,9745,1763,15.09,2.73
106100,Hospital Carlos Van Buren (Valparaíso),Región de Valparaíso,Valparaíso,-33.050258,-71.611098,129864,27060,10441,20.84,8.04
106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Región de Valparaíso,Valparaíso,-33.05679,-71.58962,27395,7018,941,25.62,3.43
106103,Hospital Claudio Vicuña (San Antonio),Región de Valparaíso,San Antonio,-33.588809,-71.608623,48986,9393,2223,19.17,4.54
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),Región de Valparaíso,Viña del Mar,-33.0294,-71.541725,138779,31159,6293,22.45,4.53
107101,Hospital San Martín (Quillota),Región de Valparaíso,Quillota,-32.87993,-71.257745,67773,10875,4183,16.05,6.17
107102,Hospital de Quilpué,Región de Valparaíso,Quilpué,-33.051961,-71.433933,51868,6463,2496,12.46,4.81
108100,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,68367,12308,1931,18.0,2.82
108101,Hospital San Juan de Dios (Los Andes),Región de Valparaíso,Los Andes,-32.829664,-70.59643,48838,8010,1684,16.4,3.45
109100,"Complejo Hospitalario San José (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.416586,-70.653318,169699,30211,4044,17.8,2.38
109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,47860,15540,1111,32.47,2.32
110100,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,152295,31141,3243,20.45,2.13
110110,Instituto Traumatológico Dr. Teodoro Gebauer,Región Metropolitana de Santiago,Santiago,-33.434891,-70.658236,9104,555,102,6.1,1.12
