region,comuna,poblacion
1,1101,199587
1,1107,142086
1,1401,16878
1,1402,1335
1,1403,790
1,1404,2858
1,1405,6272
2,2101,401096
2,2102,14084
2,2103,1472
2,2104,12097
2,2201,166334
2,2202,256
2,2203,9843
2,2301,25400
2,2302,4834
3,3101,168831
3,3102,18805
3,3103,11846
3,3201,12345
3,3202,11397
3,3301,54222
3,3302,4788
3,3303,7577
3,3304,9369
4,4101,250141
4,4102,263719
4,4103,11566
4,4104,4335
4,4105,4649
4,4106,28047
4,4201,32009
4,4202,9639
4,4203,22879
4,4204,27823
4,4301,118696
4,4302,12954
4,4303,29997
4,4304,12076
4,4305,4334
5,5101,284938
5,5102,29876
5,5103,48294
5,5104,904
5,5105,22539
5,5107,35754
5,5109,334871
5,5201,4800
5,5301,63440
5,5302,16597
5,5303,11855
5,5304,20112
5,5401,39270
5,5402,20015
5,5403,7561
5,5404,10206
5,5405,7980
5,5501,96753
5,5502,50631
5,5503,19286
5,5504,24939
5,5506,22136
5,5601,96770
5,5602,16076
5,5603,24599
5,5604,18971
5,5605,16260
5,5606,13171
5,5701,80413
5,5702,13760
5,5703,25484
5,5704,7269
5,5705,17336
5,5706,15134
5,5801,162559
5,5802,56145
5,5803,19778
5,5804,139571
6,6101,257744
6,6102,13955
6,6103,7916
6,6104,21373
6,6105,21925
6,6106,35938
6,6107,27554
6,6108,60875
6,6109,13882
6,6110,27394
6,6111,13901
6,6112,14243
6,6113,20363
6,6114,13558
6,6115,63620
6,6116,29508
6,6117,49559
6,6201,19847
6,6202,4609
6,6203,8852
6,6204,8715
6,6205,8885
6,6206,7228
6,6301,75585
6,6302,15668
6,6303,37258
6,6304,7791
6,6305,18723
6,6306,13060
6,6307,12493
6,6308,9438
6,6309,4559
6,6310,41209
7,7101,232131
7,7102,47004
7,7103,9519
7,7104,3990
7,7105,61081
7,7106,9229
7,7107,9181
7,7108,14276
7,7109,47380
7,7110,11230
7,7201,42798
7,7202,9446
7,7203,8578
7,7301,159968
7,7302,10775
7,7303,6892
7,7304,48949
7,7305,11266
7,7306,17233
7,7307,19427
7,7308,30113
7,7309,4716
7,7401,96744
7,7402,22637
7,7403,33299
7,7404,45323
7,7405,22310
7,7406,49559
7,7407,17919
7,7408,20035
8,8101,230375
8,8102,123648
8,8103,85822
8,8104,12958
8,8105,25795
8,8106,39980
8,8107,48971
8,8108,150992
8,8109,14947
8,8110,147322
8,8111,56907
8,8112,87731
8,8201,25246
8,8202,37163
8,8203,34640
8,8204,5905
8,8205,31119
8,8206,21950
8,8207,10208
8,8301,219441
8,8302,4373
8,8303,31256
8,8304,23706
8,8305,29036
8,8306,26140
8,8307,10723
8,8308,4440
8,8309,9700
8,8310,3575
8,8311,14075
8,8312,15729
8,8313,23170
8,8314,6016
9,9101,292518
9,9102,24957
9,9103,19177
9,9104,7733
9,9105,26164
9,9106,12710
9,9107,14148
9,9108,41936
9,9109,25158
9,9110,6796
9,9111,33988
9,9112,80656
9,9113,7438
9,9114,27041
9,9115,32321
9,9116,12877
9,9117,15639
9,9118,10041
9,9119,31575
9,9120,67737
9,9121,13167
9,9201,53022
9,9202,24303
9,9203,18536
9,9204,7730
9,9205,10247
9,9206,7348
9,9207,9253
9,9208,12184
9,9209,10686
9,9210,18873
9,9211,34464
10,10101,277040
10,10102,36474
10,10103,4199
10,10104,12320
10,10105,22554
10,10106,17162
10,10107,18088
10,10108,15063
10,10109,52942
10,10201,46997
10,10202,40949
10,10203,16078
10,10204,3662
10,10205,14894
10,10206,4048
10,10207,5690
10,10208,28460
10,10209,8409
10,10210,7678
10,10301,166455
10,10302,8865
10,10303,19542
10,10304,11712
10,10305,13874
10,10306,7776
10,10307,10883
10,10401,4025
10,10402,3062
10,10403,9480
10,10404,1903
11,11101,57823
11,11102,779
11,11201,23170
11,11202,5137
11,11203,1598
11,11301,3458
11,11302,647
11,11303,505
11,11401,4905
11,11402,2723
12,12101,132363
12,12102,269
12,12103,102
12,12104,241
12,12201,1750
12,12202,60
12,12301,6809
12,12302,431
12,12303,157
12,12401,24152
12,12402,203
13,13101,438856
13,13102,85041
13,13103,127250
13,13104,121587
13,13105,155257
13,13106,181049
13,13107,101808
13,13108,116943
13,13109,103157
13,13110,374836
13,13111,112022
13,13112,175421
13,13113,89870
13,13114,296134
13,13115,112620
13,13116,87295
13,13117,91290
13,13118,123800
13,13119,503635
13,13120,241467
13,13121,96062
13,13122,236478
13,13123,143974
13,13124,227820
13,13125,205624
13,13126,129351
13,13127,154615
13,13128,143622
13,13129,95602
13,13130,150829
13,13131,76002
13,13132,86420
13,13201,568086
13,13202,29060
13,13203,17441
13,13301,173293
13,13302,145160
13,13303,19742
13,13401,306371
13,13402,116969
13,13403,25491
13,13404,78828
13,13501,136325
13,13502,7768
13,13503,35165
13,13504,15352
13,13505,11108
13,13601,76429
13,13602,37497
13,13603,39274
13,13604,81243
13,13605,94402
14,14101,170043
14,14102,5501
14,14103,16876
14,14104,21431
14,14105,8074
14,14106,22973
14,14107,19802
14,14108,35098
14,14201,38907
14,14202,15635
14,14203,10527
14,14204,33363
15,15101,241653
15,15102,861
15,15201,1547
15,15202,508
16,16101,190382
16,16102,23863
16,16103,32688
16,16104,13186
16,16105,8930
16,16106,12502
16,16107,19165
16,16108,17405
16,16109,18680
16,16201,11746
16,16202,5495
16,16203,15895
16,16204,5763
16,16205,5203
16,16206,6508
16,16207,6124
16,16301,55847
16,16302,29766
16,16303,12797
16,16304,5245
16,16305,15099
