codregion,cod_comuna,COMUNA_GEOJSON,REGION_GEOJSON,PROVINCIA_GEOJSON,total,alta,poblacion,porcentaje_severidad,porcentaje_poblacion,tasa_100k
1,1107,Alto Hospicio,Región de Tarapacá,Iquique,6320,913,142086,14.446202531645568,0.642568585223034,642.568585223034
1,1402,Camiña,Región de Tarapacá,Iquique,67,6,1335,8.955223880597014,0.44943820224719105,449.43820224719104
1,1403,Colchane,Región de Tarapacá,Iquique,33,9,790,27.27272727272727,1.139240506329114,1139.240506329114
1,1404,Huara,Región de Tarapacá,Iquique,140,13,2858,9.285714285714286,0.45486354093771875,454.8635409377187
1,1101,Iquique,Región de Tarapacá,Iquique,13185,2048,199587,15.532802427000378,1.0261189356020182,1026.1189356020182
1,1405,Pica,Región de Tarapacá,Iquique,297,45,6272,15.151515151515152,0.7174744897959184,717.4744897959184
1,1401,Pozo Almonte,Región de Tarapacá,Iquique,754,112,16878,14.854111405835543,0.6635857329067425,663.5857329067426
2,2101,Antofagasta,Región de Antofagasta,Antofagasta,19200,2831,401096,14.744791666666668,0.705816063984682,705.8160639846819
2,2201,Calama,Región de Antofagasta,El Loa,11192,2082,166334,18.602573266619014,1.251698389986413,1251.6983899864128
2,2302,María Elena,Región de Antofagasta,Tocopilla,185,39,4834,21.08108108108108,0.8067852709971038,806.7852709971039
2,2102,Mejillones,Región de Antofagasta,Antofagasta,771,98,14084,12.710765239948119,0.6958250497017893,695.8250497017893
2,2202,Ollagüe,Región de Antofagasta,El Loa,10,1,256,10.0,0.390625,390.625
2,2203,San Pedro de Atacama,Región de Antofagasta,El Loa,493,88,9843,17.849898580121703,0.8940363710250939,894.0363710250939
2,2103,Sierra Gorda,Región de Antofagasta,Antofagasta,41,4,1472,9.75609756097561,0.2717391304347826,271.7391304347826
2,2104,Taltal,Región de Antofagasta,Antofagasta,534,82,12097,15.355805243445692,0.67785401339175,677.85401339175
2,2301,Tocopilla,Región de Antofagasta,Tocopilla,1131,204,25400,18.037135278514587,0.8031496062992126,803.1496062992127
3,3302,Alto del Carmen,Región de Atacama,Huasco,340,63,4788,18.529411764705884,1.3157894736842104,1315.7894736842104
3,3102,Caldera,Región de Atacama,Copiapó,745,105,18805,14.093959731543624,0.5583621377293273,558.3621377293273
3,3201,Chañaral,Región de Atacama,Chañaral,2,0,12345,0.0,0.0,0.0
3,3101,Copiapó,Región de Atacama,Copiapó,12363,1618,168831,13.087438324031384,0.9583548045086506,958.3548045086507
3,3202,Diego de Almagro,Región de Atacama,Chañaral,4,0,11397,0.0,0.0,0.0
3,3303,Freirina,Región de Atacama,Huasco,532,85,7577,15.977443609022558,1.1218160221723636,1121.8160221723638
3,3304,Huasco,Región de Atacama,Huasco,892,152,9369,17.040358744394617,1.6223716511900952,1622.3716511900952
3,3103,Tierra Amarilla,Región de Atacama,Copiapó,490,70,11846,14.285714285714285,0.5909167651527941,590.9167651527941
3,3301,Vallenar,Región de Atacama,Huasco,5071,875,54222,17.254979294024846,1.6137361218693518,1613.7361218693518
4,4103,Andacollo,Región de Coquimbo,Elqui,629,107,11566,17.011128775834656,0.9251253674563374,925.1253674563375
4,4202,Canela,Región de Coquimbo,Choapa,216,43,9639,19.90740740740741,0.4461043676729951,446.1043676729951
4,4302,Combarbalá,Región de Coquimbo,Limarí,688,90,12954,13.08139534883721,0.6947660954145438,694.7660954145438
4,4102,Coquimbo,Región de Coquimbo,Elqui,17919,2275,263719,12.696020983313803,0.8626606349940656,862.6606349940656
4,4201,Illapel,Región de Coquimbo,Choapa,669,140,32009,20.92675635276532,0.4373769877222032,437.3769877222032
