codregion,REGION,total,alta,porcentaje,poblacion,porcentaje_severidad,porcentaje_poblacion,tasa_100k
2,ANTOFAGASTA,33581,5435,16.184747327357734,635416,16.184747327357734,0.8553451597063971,855.3451597063971
15,ARICA Y PARINACOTA,20144,2580,12.807783955520256,244569,12.807783955520256,1.0549170172834659,1054.917017283466
3,ATACAMA,20495,2975,14.515735545254941,299180,14.515735545254941,0.99438465138044,994.3846513804399
11,AYSEN,906,106,11.699779249448124,100745,11.699779249448124,0.10521613975879697,105.21613975879697
8,BIOBIO,117156,23450,20.016046980094917,1613059,20.016046980094917,1.4537595958982281,1453.759595898228
4,COQUIMBO,51412,7966,15.494437096397728,832864,15.494437096397728,0.9564586775271833,956.4586775271832
9,LA ARAUCANIA,79424,13142,16.546635777598713,1010423,16.546635777598713,1.3006433939053248,1300.6433939053247
10,LOS LAGOS,58867,11294,19.185621825470978,890284,19.185621825470978,1.2685839574787372,1268.5839574787371
14,LOS RIOS,23547,4013,17.042510723234383,398230,17.042510723234383,1.0077091128242475,1007.7091128242474
12,MAGALLANES,13427,2668,19.870410367170628,166537,19.870410367170628,1.6020463920930483,1602.0463920930483
7,MAULE,81911,14409,17.591043937932636,1123008,17.591043937932636,1.283071892631219,1283.071892631219
13,METROPOLITANA,339425,77321,22.779995580761582,7400741,22.779995580761582,1.0447737598167535,1044.7737598167535
6,O’HIGGINS,44692,9125,20.417524389152423,987228,20.417524389152423,0.9243052263509544,924.3052263509544
1,TARAPACA,20838,3158,15.155005278817546,369806,15.155005278817546,0.8539612661774011,853.9612661774011
5,VALPARAISO,94595,20567,21.74216396215445,1896053,21.74216396215445,1.0847270619544918,1084.7270619544918
16,ÑUBLE,13714,2532,18.462884643430073,512289,18.462884643430073,0.4942522677629229,494.25226776292294
