cod_hospital_origen,hospital_origen,region_origen,comuna_origen,lat_origen,lon_origen,cod_hospital_destino,hospital_destino,region_destino,comuna_destino,lat_destino,lon_destino,cantidad,graves,porcentaje_graves
114105.0,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Región Metropolitana de Santiago,Puente Alto,-33.577251,-70.581781,461,97,21.04
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,105101,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,216,65,30.09
117102.0,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,117101,Hospital Clínico Herminda Martín (Chillán),Región de Ñuble,Chillán,-36.608831,-72.092671,116,54,46.55
121110.0,Hospital Dr. Abraham Godoy (Lautaro),Región de La Araucanía,Lautaro,-38.537076,-72.418384,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,109,35,32.11
118106.0,Hospital de Lota,Región del Bíobío,Lota,-37.09019,-73.155535,118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Región del Bíobío,Concepción,-36.82511,-73.037951,89,56,62.92
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,89,24,26.97
116111.0,Hospital San Juan de Dios (Cauquenes),Región del Maule,Cauquenes,-35.963105,-72.32527,116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),Región del Maule,Linares,-35.844282,-71.590991,68,39,57.35
105102.0,Hospital Dr. Antonio Tirado Lanas (Ovalle),Región de Coquimbo,Ovalle,-30.599614,-71.200031,105100,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,65,27,41.54
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,105100,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,57,27,47.37
124105.0,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,54,31,57.41
116111.0,Hospital San Juan de Dios (Cauquenes),Región del Maule,Cauquenes,-35.963105,-72.32527,116105,Hospital Dr. César Garavagno Burotto (Talca),Región del Maule,Talca,-35.426896,-71.646373,41,18,43.9
129100.0,Hospital Dr. Mauricio Heyermann (Angol),Región de La Araucanía,Angol,-37.794444,-72.705669,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,37,14,37.84
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,119102,Hospital Penco - Lirquén,Región del Bíobío,Penco,-36.719574,-72.975452,35,21,60.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Región del Bíobío,Concepción,-36.82511,-73.037951,34,20,58.82
133150.0,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,124105,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,34,20,58.82
113180.0,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Región Metropolitana de Santiago,Puente Alto,-33.577251,-70.581781,33,1,3.03
